classname,method,docstring,annotations,method_definition
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimpleBooleanPropertyAndBooleanValue(),"/**
     * Test execute with simple boolean property and Boolean value.
     */",,"public void testExecuteWithSimpleBooleanPropertyAndBooleanValue() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""booleanProperty"", expectedBooleanValue).execute(testBean);
        assertTrue(expectedBooleanValue.booleanValue() == testBean.getBooleanProperty());
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimpleBooleanPropertyAndStringValue(),"/**
     * Test execute with simple boolean property and String value.
     */",,"public void testExecuteWithSimpleBooleanPropertyAndStringValue() {
        try {
            new BeanPropertyValueChangeClosure(""booleanProperty"", ""true"").execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimpleBytePropertyAndByteValue(),"/**
     * Test execute with simple byte property and Byte value.
     */",,"public void testExecuteWithSimpleBytePropertyAndByteValue() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""byteProperty"", expectedByteValue).execute(testBean);
        assertTrue(expectedByteValue.byteValue() == testBean.getByteProperty());
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimpleBytePropertyAndStringValue(),"/**
     * Test execute with simple boolean property and String value.
     */",,"public void testExecuteWithSimpleBytePropertyAndStringValue() {
        try {
            new BeanPropertyValueChangeClosure(""byteProperty"", ""foo"").execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimplePrimitivePropertyAndNullValue(),"/**
     * Test execute with simple primitive property and null value.
     */",,"public void testExecuteWithSimplePrimitivePropertyAndNullValue() {
        try {
            new BeanPropertyValueChangeClosure(""intProperty"", null).execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithReadOnlyProperty(),"/**
     * Test execute with read only property.
     */",,"public void testExecuteWithReadOnlyProperty() {
        try {
            new BeanPropertyValueChangeClosure(""readOnlyProperty"", ""foo"").execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithWriteOnlyProperty(),"/**
     * Test execute with write only property.
     */",,"public void testExecuteWithWriteOnlyProperty() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""writeOnlyProperty"", ""foo"").execute(testBean);
        assertEquals(""foo"", testBean.getWriteOnlyPropertyValue());
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithNestedProperty(),"/**
     * Test execute with a nested property.
     */",,"public void testExecuteWithNestedProperty() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""nested.stringProperty"", ""bar"").execute(testBean);
        assertEquals(""bar"", testBean.getNested().getStringProperty());
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithNullInPropertyPath(),"/**
     * Test execute with a nested property and null in the property path.
     */",,"public void testExecuteWithNullInPropertyPath() {
        try {
            new BeanPropertyValueChangeClosure(""anotherNested.stringProperty"", ""foo"").execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithNullInPropertyPathAngIgnoreTrue(),"/**
     * Test execute with a nested property and null in the property path and ignoreNull = true.
     */",,"public void testExecuteWithNullInPropertyPathAngIgnoreTrue() {
        final TestBean testBean = new TestBean();

        // create a closure that will attempt to set a property on the null bean in the path
        final BeanPropertyValueChangeClosure closure = new BeanPropertyValueChangeClosure(""anotherNested.stringProperty"",
                ""Should ignore exception"", true);

        try {
            closure.execute(testBean);
        } catch (final IllegalArgumentException e) {
            fail(""Should have ignored the exception."");
        }
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithIndexedProperty(),"/**
     * Test execute with indexed property.
     */",,"public void testExecuteWithIndexedProperty() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""intIndexed[0]"", expectedIntegerValue).execute(testBean);
        assertTrue(expectedIntegerValue.intValue() == testBean.getIntIndexed(0));
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithMappedProperty(),"/**
     * Test execute with mapped property.
     */",,"public void testExecuteWithMappedProperty() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""mappedProperty(fred)"", ""barney"").execute(testBean);
        assertEquals(""barney"", testBean.getMappedProperty(""fred""));
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithSimpleStringProperty(),"/**
     * Test execute with a simple String property.
     */",,"public void testExecuteWithSimpleStringProperty() {
        final TestBean testBean = new TestBean();
        new BeanPropertyValueChangeClosure(""stringProperty"", ""barney"").execute(testBean);
        assertEquals(""barney"", testBean.getStringProperty());
    }"
org.apache.commons.beanutils.BeanPropertyValueChangeClosureTestCase,void testExecuteWithInvalidPropertyName(),"/**
     * Test execute with an invalid property name.
     */",,"public void testExecuteWithInvalidPropertyName() {
        try {
            new BeanPropertyValueChangeClosure(""bogusProperty"", ""foo"").execute(new TestBean());
            fail(""Should have thrown an IllegalArgumentException"");
        } catch (final IllegalArgumentException e) {
            /* this is what we expect */
        }
    }"
org.apache.commons.beanutils.BenchBean,getBooleanProperty(),,,"public boolean getBooleanProperty() {
        return (booleanProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setBooleanProperty(final boolean booleanProperty),,,"public void setBooleanProperty(final boolean booleanProperty) {
        this.booleanProperty = booleanProperty;
    }"
org.apache.commons.beanutils.BenchBean,getByteProperty(),,,"public byte getByteProperty() {
        return (this.byteProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setByteProperty(final byte byteProperty),,,"public void setByteProperty(final byte byteProperty) {
        this.byteProperty = byteProperty;
    }"
org.apache.commons.beanutils.BenchBean,getDoubleProperty(),,,"public double getDoubleProperty() {
        return (this.doubleProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setDoubleProperty(final double doubleProperty),,,"public void setDoubleProperty(final double doubleProperty) {
        this.doubleProperty = doubleProperty;
    }"
org.apache.commons.beanutils.BenchBean,getFloatProperty(),,,"public float getFloatProperty() {
        return (this.floatProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setFloatProperty(final float floatProperty),,,"public void setFloatProperty(final float floatProperty) {
        this.floatProperty = floatProperty;
    }"
org.apache.commons.beanutils.BenchBean,getIntProperty(),,,"public int getIntProperty() {
        return (this.intProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setIntProperty(final int intProperty),,,"public void setIntProperty(final int intProperty) {
        this.intProperty = intProperty;
    }"
org.apache.commons.beanutils.BenchBean,getLongProperty(),,,"public long getLongProperty() {
        return (this.longProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setLongProperty(final long longProperty),,,"public void setLongProperty(final long longProperty) {
        this.longProperty = longProperty;
    }"
org.apache.commons.beanutils.BenchBean,getShortProperty(),,,"public short getShortProperty() {
        return (this.shortProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setShortProperty(final short shortProperty),,,"public void setShortProperty(final short shortProperty) {
        this.shortProperty = shortProperty;
    }"
org.apache.commons.beanutils.BenchBean,getStringProperty(),,,"public String getStringProperty() {
        return (this.stringProperty);
    }"
org.apache.commons.beanutils.BenchBean,void setStringProperty(final String stringProperty),,,"public void setStringProperty(final String stringProperty) {
        this.stringProperty = stringProperty;
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void main(final String[] args),"/**
     * Run thus Test
     */",,"public static void main(final String[] args) {
        junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {
        return (new TestSuite(DynaBeanMapDecoratorTestCase.class));
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() throws Exception {

        mapVal.clear();
        mapVal.put(""key1"", ""key1Value"");
        mapVal.put(""key2"", ""key2Value"");

        // Initialize DynaBean and properties
        dynaBean = new BasicDynaBean(dynaClass);
        for (int i = 0; i < properties.length; i++) {
            dynaBean.set(properties[i].getName(), values[i]);
        }

        // Create decorated Maps
        decoratedMap  = new DynaBeanMapDecorator(dynaBean);
        modifiableMap = new DynaBeanMapDecorator(dynaBean, false);

    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {
        dynaBean = null;
        decoratedMap = null;
        modifiableMap = null;
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testIsReadOnly(),"/**
     * Test isReadOnly() method
     */",,"public void testIsReadOnly() {
        assertTrue(""decoratedMap true"",   ((DynaBeanMapDecorator)decoratedMap).isReadOnly());
        assertFalse(""modifiableMap false"", ((DynaBeanMapDecorator)modifiableMap).isReadOnly());
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testClear(),"/**
     * Test clear() method
     */",,"public void testClear() {
        try {
            decoratedMap.clear();
            fail(""decoratedMap.clear()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }
        try {
            modifiableMap.clear();
            fail(""modifiableMap.clear()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testContainsKey(),"/**
     * Test containsKey() method
     */",,"public void testContainsKey() {
        assertTrue(""decoratedMap true"",   decoratedMap.containsKey(stringProp.getName()));
        assertFalse(""decoratedMap false"", decoratedMap.containsKey(""xyz""));
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testContainsValue(),"/**
     * Test containsValue() method
     */",,"public void testContainsValue() {
        assertTrue(""decoratedMap true"",   decoratedMap.containsValue(stringVal));
        assertFalse(""decoratedMap false"", decoratedMap.containsValue(""xyz""));
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testEntrySet(),"/**
     * Test entrySet() method
     */",,"public void testEntrySet() {
        final Set<Map.Entry<Object, Object>> set = modifiableMap.entrySet();

        // Check the Set can't be modified
        final Map<Object, Object> m = new HashMap<Object, Object>();
        m.put(""key"", ""value"");
        checkUnmodifiable(""entrySet()"", set, m.entrySet().iterator().next());

        assertEquals(""entrySet size"", properties.length, set.size());

        final Iterator<Map.Entry<Object, Object>> iterator = set.iterator();
        final List<String> namesList = new ArrayList<String>();
        int i = 0;
        while (iterator.hasNext()) {
            final Map.Entry<Object, Object> entry = iterator.next();
            final String name  = (String)entry.getKey();
            namesList.add(name);
            final Object expectValue = decoratedMap.get(name);
            assertEquals(""entrySet(""+i+"") val"", expectValue, entry.getValue());
            i++;
        }
        for (int j = 0; j < properties.length; j++) {
            final String name = properties[j].getName();
            assertTrue(""Check property["" + j + ""]"", namesList.contains(name));
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testGet(),"/**
     * Test get() method
     */",,"public void testGet() {

        // valid property name
        assertEquals(""decoratedMap valid"", stringVal, decoratedMap.get(stringProp.getName()));

        // invalid property name
        try {
            decoratedMap.get(""xyz"");
            fail(""decoratedMap invalid"");
        } catch(final IllegalArgumentException ignore) {
            // expected result
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testIsEmpty(),"/**
     * Test isEmpty() method
     */",,"public void testIsEmpty() {
        assertTrue(""Empty"",      emptyMap.isEmpty());
        assertFalse(""Not Empty"", decoratedMap.isEmpty());
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testKeySet(),"/**
     * Test keySet() method
     */",,"public void testKeySet() {
        final Set<Object> set = modifiableMap.keySet();

        // Check the Set can't be modified
        checkUnmodifiable(""keySet()"", set, ""xyz"");

        assertEquals(""keySet size"", properties.length, set.size());

        for (int i = 0; i < properties.length; i++) {
            final String name = properties[i].getName();
            assertTrue(""Check property["" + i + ""]"", set.contains(name));
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testPut(),"/**
     * Test put() method
     */",,"public void testPut() {

        final String newValue = ""ABC"";

        // Test read only
        try {
            decoratedMap.put(stringProp.getName(), newValue);
            fail(""Not read only"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Test Writable
        assertEquals(""modifiableMap put"", stringVal, modifiableMap.put(stringProp.getName(), newValue));
        assertEquals(""dynaBean get"", newValue, dynaBean.get(stringProp.getName()));
        assertEquals(""modifiableMap get"", newValue, modifiableMap.get(stringProp.getName()));
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testPutAll(),"/**
     * Test putAll() method
     */",,"public void testPutAll() {

        final String newValue = ""ABC"";
        final Map<Object, Object> newMap = new HashMap<Object, Object>();
        newMap.put(stringProp.getName(), newValue);

        // Test read only
        try {
            decoratedMap.putAll(newMap);
            fail(""Not read only"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Test Writable
        assertEquals(""before putAll"", stringVal, dynaBean.get(stringProp.getName()));
        modifiableMap.putAll(newMap);
        assertEquals(""after putAll"",  newValue,  dynaBean.get(stringProp.getName()));
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testRemove(),"/**
     * Test remove() method
     */",,"public void testRemove() {
        try {
            decoratedMap.remove(stringProp.getName());
            fail(""decoratedMap.remove()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }
        try {
            modifiableMap.remove(stringProp.getName());
            fail(""modifiableMap.remove()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testSize(),"/**
     * Test size() method
     */",,"public void testSize() {
        assertEquals(""Empty"", 0, emptyMap.size());
        assertEquals(""Not Empty"", properties.length, decoratedMap.size());
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,void testValues(),"/**
     * Test values() method
     */",,"public void testValues() {
        final Collection<Object> collection = modifiableMap.values();

        // Check the Collection can't be modified
        checkUnmodifiable(""values()"", collection, ""xyz"");

        assertEquals(""values size"", values.length, collection.size());

        // Collection should be ordered in same sequence as properties
        final Iterator<Object> iterator = collection.iterator();
        int i = 0;
        while (iterator.hasNext()) {
            assertEquals(""values(""+i+"")"", values[i], iterator.next());
            i++;
        }
    }"
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase,"void checkUnmodifiable(final String desc, final Collection<E> collection, final E addElem)","/**
     * Check that a Collection is not modifiable
     */",,"private <E> void checkUnmodifiable(final String desc, final Collection<E> collection, final E addElem) {
        // Check can't add()
        try {
            collection.add(addElem);
            fail(desc + "".add()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't addAll()
        final List<E> list = new ArrayList<E>(1);
        list.add(addElem);
        try {
            collection.addAll(list);
            fail(desc + "".addAll()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't clear()
        try {
            collection.clear();
            fail(desc + "".clear()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't remove()
        try {
            collection.remove(""abc"");
            fail(desc + "".remove()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't removeAll()
        try {
            collection.removeAll(list);
            fail(desc + "".removeAll()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }

        // Check can't retainAll()
        try {
            collection.retainAll(list);
            fail(desc + "".retainAll()"");
        } catch(final UnsupportedOperationException ignore) {
            // expected result
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void main(final String[] args),"/**
     * Run this Test
     */",,"public static void main(final String[] args) {
      junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() throws Exception {
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {
        return (new TestSuite(MappedPropertyTestCase.class));
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testFound(),"/**
     * Test valid method name
     */",,"public void testFound() {
        final String property = ""mapproperty"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testBooleanMapped(),"/**
     * Test boolean ""is"" method name
     */",,"public void testBooleanMapped() {
        final String property = ""mappedBoolean"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testNotFound(),"/**
     * Test invalid method name
     */",,"public void testNotFound() {
        final String property = ""xxxxxxx"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            new MappedPropertyDescriptor(property, clazz);
            fail(""Property '"" + property + ""' found in "" + clazz.getName());
        } catch (final Exception ex) {
            // expected result
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testMappedGetterOnly(),"/**
     * Test Mapped Property - Getter only
     */",,"public void testMappedGetterOnly() {
        final String property = ""mappedGetterOnly"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNull(""Setter is found"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testMappedSetterOnly(),"/**
     * Test Mapped Property - Setter Only
     */",,"public void testMappedSetterOnly() {
        final String property = ""mappedSetterOnly"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNull(""Getter is found"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testInvalidSetter(),"/**
     * Test Mapped Property - Invalid Setter
     */",,"public void testInvalidSetter() {
        final String property = ""invalidSetter"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNull(""Setter is found"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testInvalidGetter(),"/**
     * Test Mapped Property - Invalid Getter
     */",,"public void testInvalidGetter() {
        final String property = ""invalidGetter"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNull(""Getter is found"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testDifferentTypes(),"/**
     * Test Mapped Property - Different Types
     *
     * Expect to find the getDifferentTypes() method, but not
     * the setDifferentTypes() method because setDifferentTypes()
     * sets and Integer, while getDifferentTypes() returns a Long.
     */",,"public void testDifferentTypes() {
        final String property = ""differentTypes"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNull(""Setter is found"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testMapGetter(),"/**
     * Test Map getter
     */",,"public void testMapGetter() {
        final MappedPropertyTestBean bean = new MappedPropertyTestBean();
        try {
            final String testValue = ""test value"";
            final String testKey   = ""testKey"";
            BeanUtils.setProperty(bean, ""myMap(""+testKey+"")"", ""test value"");
            assertEquals(""Map getter"", testValue, bean.getMyMap().get(testKey));
        } catch (final Exception ex) {
            fail(""Test set mapped property failed: "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testAnyArgsProperty(),"/**
     * Test property with any two args
     */",,"public void testAnyArgsProperty() {
        final String property = ""anyMapped"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNull(""Getter is found"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testPrimitiveArgsProperty(),"/**
     * Test property with two primitive args
     */",,"public void testPrimitiveArgsProperty() {
        final String property = ""mappedPrimitive"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNull(""Getter is found"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testProtected(),"/**
     * Test 'protected' mapped property
     */",,"public void testProtected() {
        final String property = ""protectedProperty"";
        final Class<?> clazz = MappedPropertyTestBean.class;
        try {
            new MappedPropertyDescriptor(property, clazz);
            fail(""Property '"" + property + ""' found in "" + clazz.getName());
        } catch (final Exception ex) {
            // expected result
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testPublicParentMethod(),"/**
     * Test 'public' method in parent
     */",,"public void testPublicParentMethod() {
        final String property = ""mapproperty"";
        final Class<?> clazz = MappedPropertyChildBean.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testProtectedParentMethod(),"/**
     * Test 'protected' method in parent
     */",,"public void testProtectedParentMethod() {
        final String property = ""protectedMapped"";
        final Class<?> clazz = MappedPropertyChildBean.class;
        try {
            new MappedPropertyDescriptor(property, clazz);
            fail(""Property '"" + property + ""' found in "" + clazz.getName());
        } catch (final Exception ex) {
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testInterfaceMapped(),"/**
     * Test Interface with mapped property
     */",,"public void testInterfaceMapped() {
        final String property = ""mapproperty"";
        final Class<?> clazz = MappedPropertyTestInterface.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testInterfaceNotFound(),"/**
     * Test property not found in interface
     */",,"public void testInterfaceNotFound() {
        final String property = ""XXXXXX"";
        final Class<?> clazz = MappedPropertyTestInterface.class;
        try {
            new MappedPropertyDescriptor(property, clazz);
            fail(""Property '"" + property + ""' found in "" + clazz.getName());
        } catch (final Exception ex) {
        }
    }"
org.apache.commons.beanutils.MappedPropertyTestCase,void testChildInterfaceMapped(),"/**
     * Test Interface Inherited mapped property
     */",,"public void testChildInterfaceMapped() {
        final String property = ""mapproperty"";
        final Class<?> clazz = MappedPropertyChildInterface.class;
        try {
            final MappedPropertyDescriptor desc
                = new MappedPropertyDescriptor(property, clazz);
            assertNotNull(""Getter is missing"", desc.getMappedReadMethod());
            assertNotNull(""Setter is missing"", desc.getMappedWriteMethod());
        } catch (final Exception ex) {
            fail(""Property '"" + property + ""' Not Found in "" + clazz.getName() + "": "" + ex);
        }
    }"
org.apache.commons.beanutils.BeanUtils2TestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() {
        ConvertUtils.deregister();
        BeanUtilsBean.setInstance(new BeanUtilsBean2());
        setUpShared();
    }"
org.apache.commons.beanutils.BeanUtils2TestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {
        return (new TestSuite(BeanUtils2TestCase.class));
    }"
org.apache.commons.beanutils.BeanUtils2TestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {
        bean = null;
    }"
org.apache.commons.beanutils.BeanUtils2TestCase,void testCopyPropertyConvertToString(),"/**
     * Test <code>copyProperty()</code> converting to a String.
     */",,"@Override
    public void testCopyPropertyConvertToString() {
        try {
            BeanUtils.copyProperty(bean, ""stringProperty"", testUtilDate);
        } catch (final Throwable t) {
            fail(""Threw "" + t);
        }
        assertEquals(""java.util.Date --> String"", testStringDate, bean.getStringProperty());
    }"
org.apache.commons.beanutils.BeanUtils2TestCase,void testCopyPropertyConvertToStringArray(),"/**
     * Test <code>copyProperty()</code> converting to a String.
     */",,"@Override
    public void testCopyPropertyConvertToStringArray() {
        try {
            bean.setStringArray(null);
            BeanUtils.copyProperty(bean, ""stringArray"", new java.util.Date[] {testUtilDate});
        } catch (final Throwable t) {
            fail(""Threw "" + t);
        }
        assertEquals(""java.util.Date[] --> String[] length"", 1, bean.getStringArray().length);
        assertEquals(""java.util.Date[] --> String[] value "", testStringDate, bean.getStringArray()[0]);
    }"
