classname,method,docstring,method_definition
org.jsoup.select.NodeTraversor,"filter(NodeFilter filter, Node root)","/**
     * Start a depth-first filtering of the root and all of its descendants.
     * @param filter Node visitor.
     * @param root the root node point to traverse.
     * @return The filter result of the root node, or {@link FilterResult#STOP}.
     */","public static FilterResult filter(NodeFilter filter, Node root) {
        Node node = root;
        int depth = 0;

        while (node != null) {
            FilterResult result = filter.head(node, depth);
            if (result == FilterResult.STOP)
                return result;
            // Descend into child nodes:
            if (result == FilterResult.CONTINUE && node.childNodeSize() > 0) {
                node = node.childNode(0);
                ++depth;
                continue;
            }
            // No siblings, move upwards:
            while (true) {
                assert node != null; // depth > 0, so has parent
                if (!(node.nextSibling() == null && depth > 0)) break;
                // 'tail' current node:
                if (result == FilterResult.CONTINUE || result == FilterResult.SKIP_CHILDREN) {
                    result = filter.tail(node, depth);
                    if (result == FilterResult.STOP)
                        return result;
                }
                Node prev = node; // In case we need to remove it below.
                node = node.parentNode();
                depth--;
                if (result == FilterResult.REMOVE)
                    prev.remove(); // Remove AFTER finding parent.
                result = FilterResult.CONTINUE; // Parent was not pruned.
            }
            // 'tail' current node, then proceed with siblings:
            if (result == FilterResult.CONTINUE || result == FilterResult.SKIP_CHILDREN) {
                result = filter.tail(node, depth);
                if (result == FilterResult.STOP)
                    return result;
            }
            if (node == root)
                return result;
            Node prev = node; // In case we need to remove it below.
            node = node.nextSibling();
            if (result == FilterResult.REMOVE)
                prev.remove(); // Remove AFTER finding sibling.
        }
        // root == null?
        return FilterResult.CONTINUE;
    }"
org.jsoup.select.NodeTraversor,"void filter(NodeFilter filter, Elements elements)","/**
     * Start a depth-first filtering of all elements.
     * @param filter Node filter.
     * @param elements Elements to filter.
     */","public static void filter(NodeFilter filter, Elements elements) {
        Validate.notNull(filter);
        Validate.notNull(elements);
        for (Element el : elements)
            if (filter(filter, el) == FilterResult.STOP)
                break;
    }"
org.jsoup.select.NodeFilter,"head(Node node, int depth)","/**
     * Callback for when a node is first visited.
     * @param node the node being visited.
     * @param depth the depth of the node, relative to the root node. E.g., the root node has depth 0, and a child node of that will have depth 1.
     * @return Filter decision
     */","FilterResult head(Node node, int depth);"
org.jsoup.select.NodeFilter,"tail(Node node, int depth)","/**
     * Callback for when a node is last visited, after all of its descendants have been visited.
     * <p>This method has a default implementation to return {@link FilterResult#CONTINUE}.</p>
     * @param node the node being visited.
     * @param depth the depth of the node, relative to the root node. E.g., the root node has depth 0, and a child node of that will have depth 1.
     * @return Filter decision
     */","default FilterResult tail(Node node, int depth) {
        return FilterResult.CONTINUE;
    }"
org.jsoup.select.QueryParser,parse(String query),"/**
     * Parse a CSS query into an Evaluator.
     * @param query CSS query
     * @return Evaluator
     * @see Selector selector query syntax
     */","public static Evaluator parse(String query) {
        try {
            QueryParser p = new QueryParser(query);
            return p.parse();
        } catch (IllegalArgumentException e) {
            throw new Selector.SelectorParseException(e.getMessage());
        }
    }"
org.jsoup.select.QueryParser,parse(),"/**
     * Parse the query
     * @return Evaluator
     */","Evaluator parse() {
        tq.consumeWhitespace();

        if (tq.matchesAny(combinators)) { // if starts with a combinator, use root as elements
            evals.add(new StructuralEvaluator.Root());
            combinator(tq.consume());
        } else {
            findElements();
        }

        while (!tq.isEmpty()) {
            // hierarchy and extras
            boolean seenWhite = tq.consumeWhitespace();

            if (tq.matchesAny(combinators)) {
                combinator(tq.consume());
            } else if (seenWhite) {
                combinator(' ');
            } else { // E.class, E#id, E[attr] etc. AND
                findElements(); // take next el, #. etc off queue
            }
        }

        if (evals.size() == 1)
            return evals.get(0);

        return new CombiningEvaluator.And(evals);
    }"
org.jsoup.select.QueryParser,void combinator(char combinator),,"private void combinator(char combinator) {
        tq.consumeWhitespace();
        String subQuery = consumeSubQuery(); // support multi > childs

        Evaluator rootEval; // the new topmost evaluator
        Evaluator currentEval; // the evaluator the new eval will be combined to. could be root, or rightmost or.
        Evaluator newEval = parse(subQuery); // the evaluator to add into target evaluator
        boolean replaceRightMost = false;

        if (evals.size() == 1) {
            rootEval = currentEval = evals.get(0);
            // make sure OR (,) has precedence:
            if (rootEval instanceof CombiningEvaluator.Or && combinator != ',') {
                currentEval = ((CombiningEvaluator.Or) currentEval).rightMostEvaluator();
                assert currentEval != null; // rightMost signature can return null (if none set), but always will have one by this point
                replaceRightMost = true;
            }
        }
        else {
            rootEval = currentEval = new CombiningEvaluator.And(evals);
        }
        evals.clear();

        // for most combinators: change the current eval into an AND of the current eval and the new eval
        switch (combinator) {
            case '>':
                currentEval = new CombiningEvaluator.And(new StructuralEvaluator.ImmediateParent(currentEval), newEval);
                break;
            case ' ':
                currentEval = new CombiningEvaluator.And(new StructuralEvaluator.Parent(currentEval), newEval);
                break;
            case '+':
                currentEval = new CombiningEvaluator.And(new StructuralEvaluator.ImmediatePreviousSibling(currentEval), newEval);
                break;
            case '~':
                currentEval = new CombiningEvaluator.And(new StructuralEvaluator.PreviousSibling(currentEval), newEval);
                break;
            case ',':
                CombiningEvaluator.Or or;
                if (currentEval instanceof CombiningEvaluator.Or) {
                    or = (CombiningEvaluator.Or) currentEval;
                } else {
                    or = new CombiningEvaluator.Or();
                    or.add(currentEval);
                }
                or.add(newEval);
                currentEval = or;
                break;
            default:
                throw new Selector.SelectorParseException(""Unknown combinator '%s'"", combinator);
        }

        if (replaceRightMost)
            ((CombiningEvaluator.Or) rootEval).replaceRightMostEvaluator(currentEval);
        else rootEval = currentEval;
        evals.add(rootEval);
    }"
org.jsoup.select.QueryParser,consumeSubQuery(),,"private String consumeSubQuery() {
        StringBuilder sq = StringUtil.borrowBuilder();
        while (!tq.isEmpty()) {
            if (tq.matches(""(""))
                sq.append(""("").append(tq.chompBalanced('(', ')')).append("")"");
            else if (tq.matches(""[""))
                sq.append(""["").append(tq.chompBalanced('[', ']')).append(""]"");
            else if (tq.matchesAny(combinators))
                if (sq.length() > 0)
                    break;
                else
                    tq.consume();
            else
                sq.append(tq.consume());
        }
        return StringUtil.releaseBuilder(sq);
    }"
org.jsoup.select.QueryParser,void findElements(),,"private void findElements() {
        if (tq.matchChomp(""#""))
            byId();
        else if (tq.matchChomp("".""))
            byClass();
        else if (tq.matchesWord() || tq.matches(""*|""))
            byTag();
        else if (tq.matches(""[""))
            byAttribute();
        else if (tq.matchChomp(""*""))
            allElements();
        else if (tq.matchChomp("":lt(""))
            indexLessThan();
        else if (tq.matchChomp("":gt(""))
            indexGreaterThan();
        else if (tq.matchChomp("":eq(""))
            indexEquals();
        else if (tq.matches("":has(""))
            has();
        else if (tq.matches("":contains(""))
            contains(false);
        else if (tq.matches("":containsOwn(""))
            contains(true);
        else if (tq.matches("":containsWholeText(""))
            containsWholeText(false);
        else if (tq.matches("":containsWholeOwnText(""))
            containsWholeText(true);
        else if (tq.matches("":containsData(""))
            containsData();
        else if (tq.matches("":matches(""))
            matches(false);
        else if (tq.matches("":matchesOwn(""))
            matches(true);
        else if (tq.matches("":matchesWholeText(""))
            matchesWholeText(false);
        else if (tq.matches("":matchesWholeOwnText(""))
            matchesWholeText(true);
        else if (tq.matches("":not(""))
            not();
		else if (tq.matchChomp("":nth-child(""))
        	cssNthChild(false, false);
        else if (tq.matchChomp("":nth-last-child(""))
        	cssNthChild(true, false);
        else if (tq.matchChomp("":nth-of-type(""))
        	cssNthChild(false, true);
        else if (tq.matchChomp("":nth-last-of-type(""))
        	cssNthChild(true, true);
        else if (tq.matchChomp("":first-child""))
        	evals.add(new Evaluator.IsFirstChild());
        else if (tq.matchChomp("":last-child""))
        	evals.add(new Evaluator.IsLastChild());
        else if (tq.matchChomp("":first-of-type""))
        	evals.add(new Evaluator.IsFirstOfType());
        else if (tq.matchChomp("":last-of-type""))
        	evals.add(new Evaluator.IsLastOfType());
        else if (tq.matchChomp("":only-child""))
        	evals.add(new Evaluator.IsOnlyChild());
        else if (tq.matchChomp("":only-of-type""))
        	evals.add(new Evaluator.IsOnlyOfType());
        else if (tq.matchChomp("":empty""))
        	evals.add(new Evaluator.IsEmpty());
        else if (tq.matchChomp("":root""))
        	evals.add(new Evaluator.IsRoot());
        else if (tq.matchChomp("":matchText""))
            evals.add(new Evaluator.MatchText());
		else // unhandled
            throw new Selector.SelectorParseException(""Could not parse query '%s': unexpected token at '%s'"", query, tq.remainder());

    }"
org.jsoup.select.QueryParser,void byId(),,"private void byId() {
        String id = tq.consumeCssIdentifier();
        Validate.notEmpty(id);
        evals.add(new Evaluator.Id(id));
    }"
org.jsoup.select.QueryParser,void byClass(),,"private void byClass() {
        String className = tq.consumeCssIdentifier();
        Validate.notEmpty(className);
        evals.add(new Evaluator.Class(className.trim()));
    }"
org.jsoup.select.QueryParser,void byTag(),,"private void byTag() {
        // todo - these aren't dealing perfectly with case sensitivity. For case sensitive parsers, we should also make
        // the tag in the selector case-sensitive (and also attribute names). But for now, normalize (lower-case) for
        // consistency - both the selector and the element tag
        String tagName = normalize(tq.consumeElementSelector());
        Validate.notEmpty(tagName);

        // namespaces: wildcard match equals(tagName) or ending in "":""+tagName
        if (tagName.startsWith(""*|"")) {
            String plainTag = tagName.substring(2); // strip *|
            evals.add(new CombiningEvaluator.Or(
                new Evaluator.Tag(plainTag),
                new Evaluator.TagEndsWith(tagName.replace(""*|"", "":"")))
            );
        } else {
            // namespaces: if element name is ""abc:def"", selector must be ""abc|def"", so flip:
            if (tagName.contains(""|""))
                tagName = tagName.replace(""|"", "":"");

            evals.add(new Evaluator.Tag(tagName));
        }
    }"
org.jsoup.select.QueryParser,void byAttribute(),,"private void byAttribute() {
        TokenQueue cq = new TokenQueue(tq.chompBalanced('[', ']')); // content queue
        String key = cq.consumeToAny(AttributeEvals); // eq, not, start, end, contain, match, (no val)
        Validate.notEmpty(key);
        cq.consumeWhitespace();

        if (cq.isEmpty()) {
            if (key.startsWith(""^""))
                evals.add(new Evaluator.AttributeStarting(key.substring(1)));
            else
                evals.add(new Evaluator.Attribute(key));
        } else {
            if (cq.matchChomp(""=""))
                evals.add(new Evaluator.AttributeWithValue(key, cq.remainder()));

            else if (cq.matchChomp(""!=""))
                evals.add(new Evaluator.AttributeWithValueNot(key, cq.remainder()));

            else if (cq.matchChomp(""^=""))
                evals.add(new Evaluator.AttributeWithValueStarting(key, cq.remainder()));

            else if (cq.matchChomp(""$=""))
                evals.add(new Evaluator.AttributeWithValueEnding(key, cq.remainder()));

            else if (cq.matchChomp(""*=""))
                evals.add(new Evaluator.AttributeWithValueContaining(key, cq.remainder()));

            else if (cq.matchChomp(""~=""))
                evals.add(new Evaluator.AttributeWithValueMatching(key, Pattern.compile(cq.remainder())));
            else
                throw new Selector.SelectorParseException(""Could not parse attribute query '%s': unexpected token at '%s'"", query, cq.remainder());
        }
    }"
org.jsoup.select.QueryParser,void allElements(),,"private void allElements() {
        evals.add(new Evaluator.AllElements());
    }"
org.jsoup.select.QueryParser,void indexLessThan(),,"private void indexLessThan() {
        evals.add(new Evaluator.IndexLessThan(consumeIndex()));
    }"
org.jsoup.select.QueryParser,void indexGreaterThan(),,"private void indexGreaterThan() {
        evals.add(new Evaluator.IndexGreaterThan(consumeIndex()));
    }"
org.jsoup.select.QueryParser,void indexEquals(),,"private void indexEquals() {
        evals.add(new Evaluator.IndexEquals(consumeIndex()));
    }"
org.jsoup.select.QueryParser,"void cssNthChild(boolean backwards, boolean ofType)",,"private void cssNthChild(boolean backwards, boolean ofType) {
		String argS = normalize(tq.chompTo("")""));
		Matcher mAB = NTH_AB.matcher(argS);
		Matcher mB = NTH_B.matcher(argS);
		final int a, b;
		if (""odd"".equals(argS)) {
			a = 2;
			b = 1;
		} else if (""even"".equals(argS)) {
			a = 2;
			b = 0;
		} else if (mAB.matches()) {
			a = mAB.group(3) != null ? Integer.parseInt(mAB.group(1).replaceFirst(""^\\+"", """")) : 1;
			b = mAB.group(4) != null ? Integer.parseInt(mAB.group(4).replaceFirst(""^\\+"", """")) : 0;
		} else if (mB.matches()) {
			a = 0;
			b = Integer.parseInt(mB.group().replaceFirst(""^\\+"", """"));
		} else {
			throw new Selector.SelectorParseException(""Could not parse nth-index '%s': unexpected format"", argS);
		}
		if (ofType)
			if (backwards)
				evals.add(new Evaluator.IsNthLastOfType(a, b));
			else
				evals.add(new Evaluator.IsNthOfType(a, b));
		else {
			if (backwards)
				evals.add(new Evaluator.IsNthLastChild(a, b));
			else
				evals.add(new Evaluator.IsNthChild(a, b));
		}
	}"
org.jsoup.select.QueryParser,consumeIndex(),,"private int consumeIndex() {
        String indexS = tq.chompTo("")"").trim();
        Validate.isTrue(StringUtil.isNumeric(indexS), ""Index must be numeric"");
        return Integer.parseInt(indexS);
    }"
org.jsoup.select.QueryParser,void has(),,"private void has() {
        tq.consume("":has"");
        String subQuery = tq.chompBalanced('(', ')');
        Validate.notEmpty(subQuery, "":has(selector) sub-select must not be empty"");
        evals.add(new StructuralEvaluator.Has(parse(subQuery)));
    }"
org.jsoup.select.QueryParser,void contains(boolean own),,"private void contains(boolean own) {
        String query = own ? "":containsOwn"" : "":contains"";
        tq.consume(query);
        String searchText = TokenQueue.unescape(tq.chompBalanced('(', ')'));
        Validate.notEmpty(searchText, query + ""(text) query must not be empty"");
        evals.add(own
            ? new Evaluator.ContainsOwnText(searchText)
            : new Evaluator.ContainsText(searchText));
    }"
org.jsoup.select.QueryParser,void containsWholeText(boolean own),,"private void containsWholeText(boolean own) {
        String query = own ? "":containsWholeOwnText"" : "":containsWholeText"";
        tq.consume(query);
        String searchText = TokenQueue.unescape(tq.chompBalanced('(', ')'));
        Validate.notEmpty(searchText, query + ""(text) query must not be empty"");
        evals.add(own
            ? new Evaluator.ContainsWholeOwnText(searchText)
            : new Evaluator.ContainsWholeText(searchText));
    }"
org.jsoup.select.QueryParser,void containsData(),,"private void containsData() {
        tq.consume("":containsData"");
        String searchText = TokenQueue.unescape(tq.chompBalanced('(', ')'));
        Validate.notEmpty(searchText, "":containsData(text) query must not be empty"");
        evals.add(new Evaluator.ContainsData(searchText));
    }"
org.jsoup.select.QueryParser,void matches(boolean own),,"private void matches(boolean own) {
        String query = own ? "":matchesOwn"" : "":matches"";
        tq.consume(query);
        String regex = tq.chompBalanced('(', ')'); // don't unescape, as regex bits will be escaped
        Validate.notEmpty(regex, query + ""(regex) query must not be empty"");

        evals.add(own
            ? new Evaluator.MatchesOwn(Pattern.compile(regex))
            : new Evaluator.Matches(Pattern.compile(regex)));
    }"
org.jsoup.select.QueryParser,void matchesWholeText(boolean own),,"private void matchesWholeText(boolean own) {
        String query = own ? "":matchesWholeOwnText"" : "":matchesWholeText"";
        tq.consume(query);
        String regex = tq.chompBalanced('(', ')'); // don't unescape, as regex bits will be escaped
        Validate.notEmpty(regex, query + ""(regex) query must not be empty"");

        evals.add(own
            ? new Evaluator.MatchesWholeOwnText(Pattern.compile(regex))
            : new Evaluator.MatchesWholeText(Pattern.compile(regex)));
    }"
org.jsoup.select.QueryParser,void not(),,"private void not() {
        tq.consume("":not"");
        String subQuery = tq.chompBalanced('(', ')');
        Validate.notEmpty(subQuery, "":not(selector) subselect must not be empty"");

        evals.add(new StructuralEvaluator.Not(parse(subQuery)));
    }"
org.jsoup.select.QueryParser,toString(),,"@Override
    public String toString() {
        return query;
    }"
org.jsoup.select.Evaluator,"matches(Element root, Element element)","/**
     * Test if the element meets the evaluator's requirements.
     *
     * @param root    Root of the matching subtree
     * @param element tested element
     * @return Returns <tt>true</tt> if the requirements are met or
     * <tt>false</tt> otherwise
     */","public abstract boolean matches(Element root, Element element);"
org.jsoup.select.Evaluator.Tag,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return (element.normalName().equals(tagName));
        }"
org.jsoup.select.Evaluator.Tag,toString(),,"@Override
        public String toString() {
            return String.format(""%s"", tagName);
        }"
org.jsoup.select.Evaluator.TagEndsWith,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return (element.normalName().endsWith(tagName));
        }"
org.jsoup.select.Evaluator.TagEndsWith,toString(),,"@Override
        public String toString() {
            return String.format(""%s"", tagName);
        }"
org.jsoup.select.Evaluator.Id,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return (id.equals(element.id()));
        }"
org.jsoup.select.Evaluator.Id,toString(),,"@Override
        public String toString() {
            return String.format(""#%s"", id);
        }"
org.jsoup.select.Evaluator.Class,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return (element.hasClass(className));
        }"
org.jsoup.select.Evaluator.Class,toString(),,"@Override
        public String toString() {
            return String.format("".%s"", className);
        }"
org.jsoup.select.Evaluator.Attribute,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key);
        }"
org.jsoup.select.Evaluator.Attribute,toString(),,"@Override
        public String toString() {
            return String.format(""[%s]"", key);
        }"
org.jsoup.select.Evaluator.AttributeStarting,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            List<org.jsoup.nodes.Attribute> values = element.attributes().asList();
            for (org.jsoup.nodes.Attribute attribute : values) {
                if (lowerCase(attribute.getKey()).startsWith(keyPrefix))
                    return true;
            }
            return false;
        }"
org.jsoup.select.Evaluator.AttributeStarting,toString(),,"@Override
        public String toString() {
            return String.format(""[^%s]"", keyPrefix);
        }"
org.jsoup.select.Evaluator.AttributeWithValue,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key) && value.equalsIgnoreCase(element.attr(key).trim());
        }"
org.jsoup.select.Evaluator.AttributeWithValue,toString(),,"@Override
        public String toString() {
            return String.format(""[%s=%s]"", key, value);
        }"
org.jsoup.select.Evaluator.AttributeWithValueNot,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return !value.equalsIgnoreCase(element.attr(key));
        }"
org.jsoup.select.Evaluator.AttributeWithValueNot,toString(),,"@Override
        public String toString() {
            return String.format(""[%s!=%s]"", key, value);
        }"
org.jsoup.select.Evaluator.AttributeWithValueStarting,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key) && lowerCase(element.attr(key)).startsWith(value); // value is lower case already
        }"
org.jsoup.select.Evaluator.AttributeWithValueStarting,toString(),,"@Override
        public String toString() {
            return String.format(""[%s^=%s]"", key, value);
        }"
org.jsoup.select.Evaluator.AttributeWithValueEnding,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key) && lowerCase(element.attr(key)).endsWith(value); // value is lower case
        }"
org.jsoup.select.Evaluator.AttributeWithValueEnding,toString(),,"@Override
        public String toString() {
            return String.format(""[%s$=%s]"", key, value);
        }"
org.jsoup.select.Evaluator.AttributeWithValueContaining,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key) && lowerCase(element.attr(key)).contains(value); // value is lower case
        }"
org.jsoup.select.Evaluator.AttributeWithValueContaining,toString(),,"@Override
        public String toString() {
            return String.format(""[%s*=%s]"", key, value);
        }"
org.jsoup.select.Evaluator.AttributeWithValueMatching,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.hasAttr(key) && pattern.matcher(element.attr(key)).find();
        }"
org.jsoup.select.Evaluator.AttributeWithValueMatching,toString(),,"@Override
        public String toString() {
            return String.format(""[%s~=%s]"", key, pattern.toString());
        }"
org.jsoup.select.Evaluator.AllElements,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return true;
        }"
org.jsoup.select.Evaluator.AllElements,toString(),,"@Override
        public String toString() {
            return ""*"";
        }"
org.jsoup.select.Evaluator.IndexLessThan,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return root != element && element.elementSiblingIndex() < index;
        }"
org.jsoup.select.Evaluator.IndexLessThan,toString(),,"@Override
        public String toString() {
            return String.format("":lt(%d)"", index);
        }"
org.jsoup.select.Evaluator.IndexGreaterThan,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.elementSiblingIndex() > index;
        }"
org.jsoup.select.Evaluator.IndexGreaterThan,toString(),,"@Override
        public String toString() {
            return String.format("":gt(%d)"", index);
        }"
org.jsoup.select.Evaluator.IndexEquals,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.elementSiblingIndex() == index;
        }"
org.jsoup.select.Evaluator.IndexEquals,toString(),,"@Override
        public String toString() {
            return String.format("":eq(%d)"", index);
        }"
org.jsoup.select.Evaluator.IsLastChild,"matches(Element root, Element element)",,"@Override
		public boolean matches(Element root, Element element) {
			final Element p = element.parent();
			return p != null && !(p instanceof Document) && element.elementSiblingIndex() == p.children().size()-1;
		}"
org.jsoup.select.Evaluator.IsLastChild,toString(),,"@Override
		public String toString() {
			return "":last-child"";
		}"
org.jsoup.select.Evaluator.IsFirstOfType,toString(),,"@Override
		public String toString() {
			return "":first-of-type"";
		}"
org.jsoup.select.Evaluator.IsLastOfType,toString(),,"@Override
		public String toString() {
			return "":last-of-type"";
		}"
org.jsoup.select.Evaluator.CssNthEvaluator,"matches(Element root, Element element)",,"@Override
    	public boolean matches(Element root, Element element) {
    		final Element p = element.parent();
    		if (p == null || (p instanceof Document)) return false;

    		final int pos = calculatePosition(root, element);
    		if (a == 0) return pos == b;

    		return (pos-b)*a >= 0 && (pos-b)%a==0;
    	}"
org.jsoup.select.Evaluator.CssNthEvaluator,toString(),,"@Override
		public String toString() {
			if (a == 0)
				return String.format("":%s(%d)"",getPseudoClass(), b);
			if (b == 0)
				return String.format("":%s(%dn)"",getPseudoClass(), a);
			return String.format("":%s(%dn%+d)"", getPseudoClass(),a, b);
		}"
org.jsoup.select.Evaluator.CssNthEvaluator,getPseudoClass(),,protected abstract String getPseudoClass();
org.jsoup.select.Evaluator.CssNthEvaluator,"calculatePosition(Element root, Element element)",,"protected abstract int calculatePosition(Element root, Element element);"
org.jsoup.select.Evaluator.IsNthChild,"calculatePosition(Element root, Element element)",,"protected int calculatePosition(Element root, Element element) {
			return element.elementSiblingIndex()+1;
		}"
org.jsoup.select.Evaluator.IsNthChild,getPseudoClass(),,"protected String getPseudoClass() {
			return ""nth-child"";
		}"
org.jsoup.select.Evaluator.IsNthLastChild,"calculatePosition(Element root, Element element)",,"@Override
        protected int calculatePosition(Element root, Element element) {
    	    if (element.parent() == null)
    	        return 0;
        	return element.parent().children().size() - element.elementSiblingIndex();
        }"
org.jsoup.select.Evaluator.IsNthLastChild,getPseudoClass(),,"@Override
		protected String getPseudoClass() {
			return ""nth-last-child"";
		}"
org.jsoup.select.Evaluator.IsNthOfType,"calculatePosition(Element root, Element element)",,"protected int calculatePosition(Element root, Element element) {
			int pos = 0;
            if (element.parent() == null)
                return 0;
        	Elements family = element.parent().children();
            for (Element el : family) {
                if (el.tag().equals(element.tag())) pos++;
                if (el == element) break;
            }
			return pos;
		}"
org.jsoup.select.Evaluator.IsNthOfType,getPseudoClass(),,"@Override
		protected String getPseudoClass() {
			return ""nth-of-type"";
		}"
org.jsoup.select.Evaluator.IsNthLastOfType,"calculatePosition(Element root, Element element)",,"@Override
		protected int calculatePosition(Element root, Element element) {
			int pos = 0;
            if (element.parent() == null)
                return 0;
        	Elements family = element.parent().children();
        	for (int i = element.elementSiblingIndex(); i < family.size(); i++) {
        		if (family.get(i).tag().equals(element.tag())) pos++;
        	}
			return pos;
		}"
org.jsoup.select.Evaluator.IsNthLastOfType,getPseudoClass(),,"@Override
		protected String getPseudoClass() {
			return ""nth-last-of-type"";
		}"
org.jsoup.select.Evaluator.IsFirstChild,"matches(Element root, Element element)",,"@Override
    	public boolean matches(Element root, Element element) {
    		final Element p = element.parent();
    		return p != null && !(p instanceof Document) && element.elementSiblingIndex() == 0;
    	}"
org.jsoup.select.Evaluator.IsFirstChild,toString(),,"@Override
    	public String toString() {
    		return "":first-child"";
    	}"
org.jsoup.select.Evaluator.IsRoot,"matches(Element root, Element element)",,"@Override
    	public boolean matches(Element root, Element element) {
    		final Element r = root instanceof Document?root.child(0):root;
    		return element == r;
    	}"
org.jsoup.select.Evaluator.IsRoot,toString(),,"@Override
    	public String toString() {
    		return "":root"";
    	}"
org.jsoup.select.Evaluator.IsOnlyChild,"matches(Element root, Element element)",,"@Override
		public boolean matches(Element root, Element element) {
			final Element p = element.parent();
			return p!=null && !(p instanceof Document) && element.siblingElements().isEmpty();
		}"
org.jsoup.select.Evaluator.IsOnlyChild,toString(),,"@Override
    	public String toString() {
    		return "":only-child"";
    	}"
org.jsoup.select.Evaluator.IsOnlyOfType,"matches(Element root, Element element)",,"@Override
		public boolean matches(Element root, Element element) {
			final Element p = element.parent();
			if (p==null || p instanceof Document) return false;

			int pos = 0;
        	Elements family = p.children();
            for (Element el : family) {
                if (el.tag().equals(element.tag())) pos++;
            }
        	return pos == 1;
		}"
org.jsoup.select.Evaluator.IsOnlyOfType,toString(),,"@Override
    	public String toString() {
    		return "":only-of-type"";
    	}"
org.jsoup.select.Evaluator.IsEmpty,"matches(Element root, Element element)",,"@Override
		public boolean matches(Element root, Element element) {
        	List<Node> family = element.childNodes();
            for (Node n : family) {
                if (!(n instanceof Comment || n instanceof XmlDeclaration || n instanceof DocumentType)) return false;
            }
        	return true;
		}"
org.jsoup.select.Evaluator.IsEmpty,toString(),,"@Override
    	public String toString() {
    		return "":empty"";
    	}"
org.jsoup.select.Evaluator.ContainsText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return lowerCase(element.text()).contains(searchText);
        }"
org.jsoup.select.Evaluator.ContainsText,toString(),,"@Override
        public String toString() {
            return String.format("":contains(%s)"", searchText);
        }"
org.jsoup.select.Evaluator.ContainsWholeText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.wholeText().contains(searchText);
        }"
org.jsoup.select.Evaluator.ContainsWholeText,toString(),,"@Override
        public String toString() {
            return String.format("":containsWholeText(%s)"", searchText);
        }"
org.jsoup.select.Evaluator.ContainsWholeOwnText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return element.wholeOwnText().contains(searchText);
        }"
org.jsoup.select.Evaluator.ContainsWholeOwnText,toString(),,"@Override
        public String toString() {
            return String.format("":containsWholeOwnText(%s)"", searchText);
        }"
org.jsoup.select.Evaluator.ContainsData,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return lowerCase(element.data()).contains(searchText); // not whitespace normalized
        }"
org.jsoup.select.Evaluator.ContainsData,toString(),,"@Override
        public String toString() {
            return String.format("":containsData(%s)"", searchText);
        }"
org.jsoup.select.Evaluator.ContainsOwnText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            return lowerCase(element.ownText()).contains(searchText);
        }"
org.jsoup.select.Evaluator.ContainsOwnText,toString(),,"@Override
        public String toString() {
            return String.format("":containsOwn(%s)"", searchText);
        }"
org.jsoup.select.Evaluator.Matches,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            Matcher m = pattern.matcher(element.text());
            return m.find();
        }"
org.jsoup.select.Evaluator.Matches,toString(),,"@Override
        public String toString() {
            return String.format("":matches(%s)"", pattern);
        }"
org.jsoup.select.Evaluator.MatchesOwn,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            Matcher m = pattern.matcher(element.ownText());
            return m.find();
        }"
org.jsoup.select.Evaluator.MatchesOwn,toString(),,"@Override
        public String toString() {
            return String.format("":matchesOwn(%s)"", pattern);
        }"
org.jsoup.select.Evaluator.MatchesWholeText,"matches(Element root, Element element)",,"@Override
        public boolean matches(Element root, Element element) {
            Matcher m = pattern.matcher(element.wholeText());
            return m.find();
        }"
